,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,neighborhood_median,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,2384,"Hyde Park - Walk to UChicago, 10 min to McCormick",2613,Rebecca,Hyde Park,41.7879,-87.5878,Private room,65,50,2,181,2020-10-29,2.43,1,355
1,4505,394 Great Reviews. 127 y/o House. 40 yds to train.,5775,Craig & Kathleen,South Lawndale,41.85495,-87.69696,Entire home/apt,117,60,2,395,2020-07-14,2.71,1,184
2,7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,West Town,41.90289,-87.68182,Entire home/apt,70,100,2,389,2021-01-09,2.75,1,365
3,9811,Barbara's Hideaway - Old Town,33004,At Home Inn,Lincoln Park,41.91769,-87.63788000000001,Entire home/apt,95,123,4,54,2021-01-15,0.65,11,282
4,10945,The Biddle House (#1),33004,At Home Inn,Lincoln Park,41.91183,-87.64,Entire home/apt,125,123,4,21,2020-11-21,0.25,11,101
5,12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,Near North Side,41.90452,-87.6332,Entire home/apt,99,132,7,9,2019-01-14,0.12,1,269
6,12140,Lincoln Park Guest House,46734,Sharon And Robert,Lincoln Park,41.92335,-87.64950999999999,Private room,289,123,2,5,2021-01-04,0.07,1,179
7,22362,Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ,85811,Craig,West Town,41.89617,-87.66041,Entire home/apt,99,100,91,9,2014-10-12,0.1,2,365
8,24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,Lincoln Park,41.926790000000004,-87.65521,Entire home/apt,77,123,32,37,2018-07-29,0.28,3,171
9,25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,Lincoln Park,41.92693,-87.65753000000001,Entire home/apt,94,123,32,47,2020-05-11,0.36,3,213
10,28749,"Sanitized, Huge, Quirky Bucktown Loft + Parking",27506,Laurie,Logan Square,41.92083,-87.6801,Entire home/apt,79,90,2,76,2021-02-14,0.61,1,343
11,37738,Andersonville - Perfect location!,162364,Mat And Randy,Uptown,41.9729,-87.66538,Private room,110,81,3,250,2020-03-15,1.94,2,264
12,39742,Central guestroom! Walk everywhere!,170758,Eric,Near North Side,41.89377,-87.63465,Private room,75,132,2,500,2019-09-30,3.96,1,89
13,71930,"Rest, Relax and Explore",334241,Michael And Veronica,West Town,41.89615,-87.67934,Private room,50,100,2,70,2020-07-09,0.59,2,138
14,79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,Uptown,41.96792,-87.65756999999999,Private room,180,81,2,151,2020-07-05,1.25,5,363
15,84042,The Explorer Room,334241,Michael And Veronica,West Town,41.89615,-87.67934,Private room,40,100,2,80,2021-02-07,0.67,2,212
16,110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,Uptown,41.9693,-87.65621,Private room,99,81,2,150,2020-09-26,1.26,5,363
17,126280,"Near Lake, Wrigley and Weiss Hospital",626517,Gail,Uptown,41.96852,-87.65225,Private room,35,81,3,162,2020-03-08,1.37,1,0
18,133262,"Sweet Ivy Apartment #1 Relax, Recharge & Explore!",654712,Francesca,West Town,41.89243,-87.68078,Entire home/apt,100,100,14,35,2019-06-12,0.35,1,173
19,145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,North Center,41.94342,-87.68121,Entire home/apt,167,112,2,35,2020-12-27,0.54,20,0
20,145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Lincoln Park,41.912890000000004,-87.63864000000001,Entire home/apt,275,123,2,56,2020-11-15,0.8,20,360
